Yidx: 54264, Block: 0, Thread: 14,  Cvals: 0.000005331504(99), z_elem: 0.000000656826(57), local_sum: 0.000000000004
Yidx: 54264, Block: 0, Thread: 14,  Cvals: -0.000008938990(102), z_elem: -0.000010710262(58), local_sum: 0.000000000099
Yidx: 54264, Block: 0, Thread: 14,  Cvals: -0.000000020268(105), z_elem: -127412.404135061937(59), local_sum: 0.002582436671
Yidx: 54265, Block: 0, Thread: 14,  Cvals: 0.000000000000(97), z_elem: -0.000741365773(56), local_sum: 0.000000000000
Yidx: 54265, Block: 0, Thread: 14,  Cvals: 0.000000002023(100), z_elem: 0.000000656826(57), local_sum: 0.000000000000
Yidx: 54265, Block: 0, Thread: 14,  Cvals: -0.000000003392(103), z_elem: -0.000010710262(58), local_sum: 0.000000000000
Yidx: 54265, Block: 0, Thread: 14,  Cvals: -0.000000000008(106), z_elem: -127412.404135061937(59), local_sum: 0.000000979846
Yidx: 54266, Block: 0, Thread: 14,  Cvals: 0.000000000000(98), z_elem: -0.000741365773(56), local_sum: 0.000000000000
Yidx: 54266, Block: 0, Thread: 14,  Cvals: 0.000576397928(101), z_elem: 0.000000656826(57), local_sum: 0.000000000379
Yidx: 54266, Block: 0, Thread: 14,  Cvals: -0.000966409400(104), z_elem: -0.000010710262(58), local_sum: 0.000000010729
Yidx: 54266, Block: 0, Thread: 14,  Cvals: -0.000002191244(107), z_elem: -127412.404135061937(59), local_sum: 0.279191615167
